orig_texts	orig_labels	orig_predictions	orig_z	edits_texts	edits_labels	edits_predictions	edits_z_pre	edits_z_pos
▁A ▁young ▁family ▁enjoy s ▁feeling ▁ocean ▁waves ▁lap ▁at ▁their ▁feet . </s> ▁A ▁family ▁is ▁out ▁at ▁ a ▁restaurant . </s>	2	2	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]	▁A ▁young ▁family ▁enjoy s ▁feeling ▁ocean ▁waves ▁lap ▁at ▁their ▁feet . </s> ▁A ▁family ▁is ▁at ▁ a ▁beach . </s>	0	1	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]
▁A ▁person ▁wearing ▁ a ▁straw ▁ hat , ▁standing ▁outside ▁working ▁ a ▁steel ▁apparatus ▁with ▁ a ▁pile ▁of ▁coconut s ▁on ▁the ▁ground . </s> ▁A ▁person ▁is ▁near ▁ a ▁pile ▁of ▁coconut s . </s>	0	0	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]	▁A ▁person ▁wearing ▁ a ▁straw ▁ hat , ▁standing ▁outside ▁working ▁ a ▁steel ▁apparatus ▁with ▁ a ▁pile ▁of ▁coconut s ▁on ▁the ▁ground . </s> ▁A ▁person ▁is ▁eating ▁ a ▁pile ▁of ▁coconut s . </s>	2	2	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]
▁A ▁man ▁standing ▁in ▁front ▁of ▁ a ▁building ▁on ▁the ▁phone ▁as ▁two ▁men ▁to ▁the ▁side ▁pain ▁on ▁the ▁side . </s> ▁two ▁girls ▁walk ▁through ▁ a ▁hall </s>	2	2	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0]	▁A ▁man ▁standing ▁in ▁front ▁of ▁ a ▁building ▁on ▁the ▁phone ▁as ▁two ▁men ▁to ▁the ▁side ▁pain ▁on ▁the ▁side . </s> ▁two ▁men ▁stand ▁near ▁ a ▁building </s>	0	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0]
▁Two ▁children , ▁both ▁wearing ▁ t an ▁coat s , ▁are ▁ embracing ▁one ▁another . </s> ▁Two ▁kids ▁are ▁hug ging . </s>	0	0	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]	▁Two ▁children , ▁both ▁wearing ▁ t an ▁coat s , ▁are ▁ embracing ▁one ▁another . </s> ▁Two ▁children ▁are ▁sleeping . </s>	2	2	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0]
▁Women ▁of ▁India ▁performing ▁with ▁blue ▁stream ers , ▁in ▁beautiful ▁blue ▁costumes . </s> ▁in dian ▁women ▁perform ▁together ▁in ▁gorgeous ▁costumes </s>	0	0	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0]	▁Women ▁of ▁India ▁performing ▁with ▁blue ▁stream ers , ▁in ▁beautiful ▁blue ▁costumes . </s> ▁in dian ▁women ▁performing ▁in ▁blue ▁costumes </s>	2	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0]
▁A ▁couple ▁is ▁eating ▁outside ▁at ▁ a ▁table ▁and ▁ he ▁is ▁ pointing ▁at ▁something . </s> ▁A ▁couple ▁is ▁eating ▁inside ▁at ▁ a ▁table ▁and ▁ he ▁is ▁ pointing ▁at ▁something . </s>	2	2	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0]	▁A ▁couple ▁is ▁eating ▁outside ▁at ▁ a ▁table ▁and ▁ he ▁is ▁ pointing ▁at ▁something . </s> ▁A ▁couple ▁is ▁eating ▁outside ▁at ▁ a ▁table ▁and ▁ he ▁is ▁ pointing ▁at ▁something . </s>	0	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0]
▁A ▁man ▁of ▁the ▁cloth ▁puts ▁ a ▁black ▁substance ▁on ▁ a ▁man ' s ▁forehead . </s> ▁The ▁women ▁are ▁at ▁the ▁park . </s>	2	2	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0]	▁A ▁man ▁of ▁the ▁cloth ▁puts ▁ a ▁black ▁substance ▁on ▁ a ▁man ' s ▁forehead . </s> ▁The ▁man ▁is ▁touching ▁the ▁forehead . </s>	0	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0]
▁Men ▁wearing ▁blue ▁uniform s ▁sit ▁on ▁ a ▁bus . </s> ▁Men ▁drive ▁the ▁bus ▁into ▁the ▁ocean . </s>	2	2	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0]	▁Men ▁wearing ▁blue ▁uniform s ▁sit ▁on ▁ a ▁bus . </s> ▁All ▁the ▁men ▁are ▁on ▁the ▁bus . </s>	0	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0]
▁An ▁old ▁man ▁in ▁ a ▁baseball ▁ hat ▁and ▁an ▁old ▁woman ▁in ▁ a ▁ jean ▁jacket ▁are ▁standing ▁outside , ▁but ▁are ▁covered ▁mostly ▁in ▁shadow . </s> ▁An ▁old ▁woman ▁has ▁ a ▁ jean ▁jacket . </s>	0	0	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]	▁An ▁old ▁man ▁in ▁ a ▁baseball ▁ hat ▁and ▁an ▁old ▁woman ▁in ▁ a ▁ jean ▁jacket ▁are ▁standing ▁outside , ▁but ▁are ▁covered ▁mostly ▁in ▁shadow . </s> ▁An ▁old ▁man ▁is ▁not ▁wearing ▁ a ▁ hat . </s>	2	2	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]
▁The ▁girl ▁wearing ▁ a ▁brown ▁jacket ▁whil s t ▁walking ▁in ▁snow . </s> ▁The ▁girl ▁is ▁walking ▁outside . </s>	0	0	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]	▁The ▁girl ▁wearing ▁ a ▁brown ▁jacket ▁whil s t ▁walking ▁in ▁snow . </s> ▁The ▁girl ▁is ▁swimming . </s>	2	2	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0]
